date,text,publisher,oil_price,oil_open,oil_high,oil_low,oil_volume,oil_change_percent
2025-12-01,EMPTY,EMPTY,59.32,58.96,59.97,58.83,232.77K,1.32%
2025-12-02,"I am asking all America First Patriots in Tennessee’s 7th Congressional District to please GET OUT AND VOTE TOMORROW for a phenomenal Candidate, Matt Van Epps, on Election Day, Tuesday, December 2nd! You can win this Election for MAGA Warrior Matt Van Epps, who has my Complete",realDonaldTrump,58.64,59.52,59.67,58.28,255.51K,-1.15%
2025-12-02,"I am asking all America First Patriots in Tennessee’s 7th Congressional District to please GET OUT AND VOTE for a phenomenal Candidate and MAGA Warrior, Matt Van Epps! You can win this Election for Matt, who has my Complete and Total Endorsement. HE WILL BE A GREAT CONGRESSMAN",realDonaldTrump,58.64,59.52,59.67,58.28,255.51K,-1.15%
2025-12-03,EMPTY,EMPTY,58.95,58.65,59.64,58.37,260.97K,0.53%
2025-12-04,EMPTY,EMPTY,59.67,59.09,60.02,58.81,264.99K,1.22%
2025-12-05,EMPTY,EMPTY,60.08,59.7,60.5,59.42,255.08K,0.69%
2025-12-08,EMPTY,EMPTY,58.63,59.88,60.01,58.43,162.27K,-2.41%
2025-12-09,EMPTY,EMPTY,58.08,58.67,58.93,57.95,178.89K,-0.94%
2025-12-10,EMPTY,EMPTY,58.3,58.23,58.83,57.52,166.34K,0.38%
2025-12-11,EMPTY,EMPTY,57.45,58.72,58.76,56.85,193.56K,-1.46%
2025-12-12,EMPTY,EMPTY,57.24,57.74,58.01,56.97,186.59K,-0.37%
2025-12-15,EMPTY,EMPTY,56.82,57.5,57.8,56.4,229.31K,-0.73%
2025-12-16,EMPTY,EMPTY,55.27,56.68,56.7,54.98,230.93K,-2.73%
2025-12-17,EMPTY,EMPTY,55.94,55.23,56.98,55.2,125.61K,1.21%
2025-12-18,EMPTY,EMPTY,56.15,56.9,57.03,55.88,85.74K,0.38%
2025-12-19,EMPTY,EMPTY,56.66,56.03,56.9,55.82,196.88K,0.91%
2025-12-22,EMPTY,EMPTY,58.01,56.63,58.13,56.6,221.58K,2.38%
2025-12-23,"THE TRUMP KENNEDY CENTER HONORS will be broadcast tonight, on CBS, and Stream on Paramount+. Tune in at 8 P.M. EST! At the request of the Board, and just about everybody else in America, I am hosting the event. Tell me what you think of my “Master of Ceremony” abilities. If",realDonaldTrump,58.38,57.95,58.56,57.74,183.63K,0.64%
2025-12-24,EMPTY,EMPTY,58.35,58.47,58.75,58.13,111.76K,-0.05%
2025-12-25,"Merry Christmas to all, including the Radical Left Scum that is doing everything possible to destroy our Country, but are failing badly. We no longer have Open Borders, Men in Women’s Sports, Transgender for Everyone, or Weak Law Enforcement. What we do have is a Record Stock",realDonaldTrump,,,,,,
2025-12-26,EMPTY,EMPTY,56.74,58.35,58.88,56.65,166.67K,-2.76%
2025-12-29,EMPTY,EMPTY,58.08,57.04,58.3,56.91,178.59K,2.36%
2025-12-30,EMPTY,EMPTY,57.95,57.81,58.47,57.6,143.80K,-0.22%
2025-12-31,EMPTY,EMPTY,57.42,57.95,58.55,57.2,157.16K,-0.91%
2026-01-02,EMPTY,EMPTY,57.32,57.41,57.93,56.6,189.50K,-0.17%
2026-01-05,EMPTY,EMPTY,58.08,57.25,58.23,56.13,163.00K,1.33%
2026-01-06,EMPTY,EMPTY,56.94,58.1,58.6,56.66,187.86K,-1.96%
2026-01-07,EMPTY,EMPTY,55.99,57.0,57.17,55.76,383.13K,-1.67%
2026-01-08,EMPTY,EMPTY,57.76,56.42,58.74,55.97,334.13K,3.16%
2026-01-09,EMPTY,EMPTY,59.12,58.4,59.77,57.61,360.31K,2.35%
2026-01-12,EMPTY,EMPTY,59.32,58.89,59.72,58.32,282.48K,0.34%
2026-01-13,EMPTY,EMPTY,60.93,59.75,61.23,59.29,410.80K,2.71%
2026-01-14,EMPTY,EMPTY,62.02,61.12,62.36,59.19,410.26K,1.79%
2026-01-15,EMPTY,EMPTY,59.19,61.06,61.14,58.88,113.64K,-4.56%
2026-01-16,EMPTY,EMPTY,59.44,59.26,60.18,58.94,113.79K,0.42%
2026-01-18,EMPTY,EMPTY,58.97,58.98,59.18,58.86,,-0.79%
2026-01-19,EMPTY,EMPTY,59.39,59.43,59.56,58.57,120.74K,0.71%
2026-01-20,EMPTY,EMPTY,60.34,59.01,60.68,58.7,31.29K,1.60%
2026-01-21,EMPTY,EMPTY,60.62,59.57,60.89,59.22,333.06K,0.46%
2026-01-22,EMPTY,EMPTY,59.36,60.68,60.82,58.96,324.35K,-2.08%
2026-01-23,"COUNTDOWN: 7 Days until the World will witness an unforgettable, behind-the-scenes, look at one of the most important events of our time.

MELANIA: TWENTY DAYS TO HISTORY:
amazon.com/salp/melaniamo
…",realDonaldTrump,61.07,59.66,61.36,59.52,283.42K,2.88%
2026-01-24,I have been briefed on the Record Cold Wave and Historic Winter Storm that will be hitting much of the United States this weekend. The Trump Administration is coordinating with State and Local Officials. FEMA is fully prepared to respond. Stay Safe and Stay Warm! President DJT,realDonaldTrump,,,,,,
