tweet_id,created_at,text,replies,retweets,likes
2004012442427277591,2025-12-25T02:12:53.000Z,"Merry Christmas to all, including the Radical Left Scum that is doing everything possible to destroy our Country, but are failing badly. We no longer have Open Borders, Men in Women’s Sports, Transgender for Everyone, or Weak Law Enforcement. What we do have is a Record Stock",109K,98K,790K
2014772963719991311,2026-01-23T18:51:21.000Z,"COUNTDOWN: 7 Days until the World will witness an unforgettable, behind-the-scenes, look at one of the most important events of our time.

MELANIA: TWENTY DAYS TO HISTORY:
amazon.com/salp/melaniamo
…",40K,51K,390K
2017417980594827718,2026-01-31T02:01:43.000Z,"Last night I saw, “MELANIA,” for the second time. The audience loved it, and so do I. Check it out — A MUST SEE!",49K,39K,307K
2014874759473828043,2026-01-24T01:35:51.000Z,I have been briefed on the Record Cold Wave and Historic Winter Storm that will be hitting much of the United States this weekend. The Trump Administration is coordinating with State and Local Officials. FEMA is fully prepared to respond. Stay Safe and Stay Warm! President DJT,31K,39K,280K
2028505632123326484,2026-03-02T16:20:05.000Z,,159K,85K,604K
1995676855651664182,2025-12-02T02:10:14.000Z,"I am asking all America First Patriots in Tennessee’s 7th Congressional District to please GET OUT AND VOTE TOMORROW for a phenomenal Candidate, Matt Van Epps, on Election Day, Tuesday, December 2nd! You can win this Election for MAGA Warrior Matt Van Epps, who has my Complete",16K,34K,160K
2027651077865157033,2026-02-28T07:44:23.000Z,,150K,181K,996K
2015833393917747502,2026-01-26T17:05:08.000Z,"MELANIA, the Movie, is a MUST WATCH. Get your tickets today — Selling out, FAST!

Photo: Regine Mahaux
amazon.com/salp/melaniamo
…",66K,47K,406K
2003565251816554746,2025-12-23T20:35:55.000Z,"THE TRUMP KENNEDY CENTER HONORS will be broadcast tonight, on CBS, and Stream on Paramount+. Tune in at 8 P.M. EST! At the request of the Board, and just about everybody else in America, I am hosting the event. Tell me what you think of my “Master of Ceremony” abilities. If",30K,22K,162K
1995898845134303294,2025-12-02T16:52:21.000Z,"I am asking all America First Patriots in Tennessee’s 7th Congressional District to please GET OUT AND VOTE for a phenomenal Candidate and MAGA Warrior, Matt Van Epps! You can win this Election for Matt, who has my Complete and Total Endorsement. HE WILL BE A GREAT CONGRESSMAN",33K,29K,151K
2056827052851105947,2026-05-19T19:59:18.000Z,"Horrible Congressman Thomas Massie put out an old Endorsement, from many years ago, of him by me long before I found out that he was the Worst Congressman in the History of our Country. I endorsed Ed Gallrein, a true American Patriot, which Massie knows full well, so the",54K,44K,280K
2057968277062582378,2026-05-22T23:34:07.000Z,,60K,111K,903K
