tweet_id,created_at,text,replies,retweets,likes
2059321863533162629,2026-05-26T17:12:47.000Z,,435,340,2K
2059902811744170116,2026-05-28T07:41:16.000Z,"My wife and I extend our deepest condolences to the family of Sergeant Rotem Yanai z""l, who fell near the northern border.

Sergeant Rotem z""l, from Givat Ada, served as a manpower officer in the Givati Brigade. She always acted with devotion, sensitivity, and boundless care for",3K,1K,6.3K
2059337411411202298,2026-05-26T18:14:34.000Z,We have now struck in Gaza Muhammad Deif - the leader of Hamas's military wing and one of the architects of the October 7 massacre. We will get to all of them.,3K,5.1K,37K
2060009689174204432,2026-05-28T14:45:57.000Z,"I visited today the Hasmonean Brigade of the IDF in the Jordan Valley, together with the Chairman of the Foreign Affairs and Defense Committee, MK Boaz Bismuth.

I met there Haredi fighters full of faith, spirit, and dedication, who serve the State of Israel out of love for the",1.4K,847,5.1K
2058561344564089252,2026-05-24T14:50:45.000Z,"I spoke last night with President 
@realDonaldTrump
 about the memorandum of understanding to reopen the Straits of Hormuz and the upcoming negotiations toward a final agreement on Iran’s nuclear program.

I expressed my deep appreciation to President Trump for his unwavering",7.4K,7.1K,35K
2059340348246098384,2026-05-26T18:26:14.000Z,"Since Operation ""Lion's Roar,"" we have eliminated approximately 2,500 Hezbollah terrorists.

During the ceasefire alone, 700 Hezbollah terrorists were eliminated—more terrorists than were eliminated throughout the entire Second Lebanon War.

Our forces are completing the",2.8K,3.7K,19K
2059318328766685645,2026-05-26T16:58:44.000Z,We are intensifying our operations in Lebanon. Thank you to our commanders and heroic soldiers deep in the field!,1.7K,1.4K,8.3K
2058793517917389074,2026-05-25T06:13:19.000Z,"Together with all the citizens of Israel, my wife and I mourn the fall of the combat engineering fighter, Sergeant Nahorai Laser z""l, who fell in battle in southern Lebanon.

Nahorai z""l, a wonderful young man from the city of Eilat, fought with valor and defended with devotion",2.7K,1.1K,7K
2058561451812405341,2026-05-24T14:51:10.000Z,"שוחחתי אמש עם הנשיא טראמפ על מזכר ההבנות לפתיחת מצרי הורמוז ועל המשא ומתן הקרוב להסכם סופי בנושא תוכנית הגרעין של איראן.

הבעתי בפני הנשיא טראמפ את הערכתי העמוקה על מחויבותו האיתנה לביטחון ישראל, לרבות במהלך המבצעים ״שאגת הארי״ ו”Epic Fury”, שבהם כוחות אמריקנים וישראלים נלחמו כתף",1.4K,458,3.2K
2059321863533162629,2026-05-26T17:12:47.000Z,,436,341,2K
